DiagnosisCode,DiagnosisGrouping,DiagnosisDescription
J302,Other diseases of upper respiratory tract,Other seasonal allergic rhinitis
J218,Other acute lower respiratory infections,Acute bronchiolitis due to other specified organisms
J210,Other acute lower respiratory infections,Acute bronchiolitis due to respiratory syncytial virus
J209,Other acute lower respiratory infections,"Acute bronchitis, unspecified"
J208,Other acute lower respiratory infections,Acute bronchitis due to other specified organisms
J189,Influenza and pneumonia,"Pneumonia, unspecified"
J181,Influenza and pneumonia,"Lobar pneumonia, unspecified"
J180,Influenza and pneumonia,"Bronchopneumonia, unspecified"
J159,Influenza and pneumonia,"Bacterial pneumonia, unspecified"
J156,Influenza and pneumonia,Pneumonia due to other aerobic Gram-negative bacteria
J121,Influenza and pneumonia,Respiratory syncytial virus pneumonia
J111,Influenza and pneumonia,"Influenza with other respiratory manifestations, virus not identified"
J101,Influenza and pneumonia,"Influenza with other respiratory manifestations, other influenza virus identified"
J069,Acute upper respiratory infections,"Acute upper respiratory infection, unspecified"
J060,Acute upper respiratory infections,Acute laryngopharyngitis
J051,Acute upper respiratory infections,Acute epiglottitis
J050,Acute upper respiratory infections,Acute obstructive laryngitis [croup]
J029,Acute upper respiratory infections,"Acute pharyngitis, unspecified"
J020,Acute upper respiratory infections,Streptococcal pharyngitis
J019,Acute upper respiratory infections,"Acute sinusitis, unspecified"
J018,Acute upper respiratory infections,Other acute sinusitis
J011,Acute upper respiratory infections,Acute frontal sinusitis
J010,Acute upper respiratory infections,Acute maxillary sinusitis
J00,Acute upper respiratory infections,Acute nasopharyngitis [common cold]
I999,Other and unspecified disorders of the circulatory system,Other and unspecified disorders of circulatory system
I96,Other and unspecified disorders of the circulatory system,Other and unspecified disorders of circulatory system
I959,Other and unspecified disorders of the circulatory system,"Hypotension, unspecified"
I951,Other and unspecified disorders of the circulatory system,Orthostatic hypotension
I898,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified",Other specified noninfective disorders of lymphatic vessels and lymph nodes
I890,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified","Lymphoedema, not elsewhere classified"
I889,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified","Nonspecific lymphadenitis, unspecified"
I880,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified",Nonspecific mesenteric lymphadenitis
I872,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified",Venous insufficiency (chronic)(peripheral)
I861,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified",Scrotal varices
I839,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified",Varicose veins of lower extremities without ulcer or inflammation
I838,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified",Varicose veins of lower extremities
I82B,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified",Other venous embolism and thrombosis
I826,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified",Other venous embolism and thrombosis
I825,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified",Other venous embolism and thrombosis
I824,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified",Other venous embolism and thrombosis
I802,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified",Phlebitis and thrombophlebitis of other deep vessels of lower extremities
I739,"Diseases of arteries, arterioles and capillaries","Peripheral vascular disease, unspecified"
I738,"Diseases of arteries, arterioles and capillaries",Other specified peripheral vascular diseases
I723,"Diseases of arteries, arterioles and capillaries",Aneurysm and dissection of Iliac artery
I722,"Diseases of arteries, arterioles and capillaries",Aneurysm and dissection of renal artery
I714,"Diseases of arteries, arterioles and capillaries","Abdominal aortic aneurysm, without mention of rupture"
I712,"Diseases of arteries, arterioles and capillaries","Thoracic aortic aneurysm, without mention of rupture"
I710,"Diseases of arteries, arterioles and capillaries",Dissection of aorta [any part]
I702,"Diseases of arteries, arterioles and capillaries",Atherosclerosis of arteries of extremities
I700,"Diseases of arteries, arterioles and capillaries",Atherosclerosis of aorta
I699,Cerebrovascular diseases,Sequelae of cerebrovascular disease
I691,Cerebrovascular diseases,Sequelae of cerebrovascular disease
I679,Cerebrovascular diseases,Other cerebrovascular diseases
I671,Cerebrovascular diseases,Other cerebrovascular diseases
I652,Cerebrovascular diseases,"Occlusion and stenosis of precerebral arteries, not resulting in cerebral infarction"
I639,Cerebrovascular diseases,Cerebral infarction
I635,Cerebrovascular diseases,Cerebral infarction
I634,Cerebrovascular diseases,Cerebral infarction
I633,Cerebrovascular diseases,Cerebral infarction
I631,Cerebrovascular diseases,Cerebral infarction
I630,Cerebrovascular diseases,Cerebral infarction
I629,Cerebrovascular diseases,Other nontraumatic intracranial haemorrhage
I620,Cerebrovascular diseases,Other nontraumatic intracranial haemorrhage
I619,Cerebrovascular diseases,Intracerebral haemorrhage
I618,Cerebrovascular diseases,Intracerebral haemorrhage
I613,Cerebrovascular diseases,Intracerebral haemorrhage
I610,Cerebrovascular diseases,Intracerebral haemorrhage
I609,Cerebrovascular diseases,Subarachnoid haemorrhage
I519,Other forms of heart disease,"Heart disease, unspecified"
I517,Other forms of heart disease,Cardiomegaly
I509,Other forms of heart disease,"Heart failure, unspecified"
I504,Other forms of heart disease,Heart failure
I503,Other forms of heart disease,Heart failure
I502,Other forms of heart disease,Heart failure
I499,Other forms of heart disease,"Cardiac arrhythmia, unspecified"
I495,Other forms of heart disease,Sick sinus syndrome
I493,Other forms of heart disease,Ventricular premature depolarization
I491,Other forms of heart disease,Atrial premature depolarization
I490,Other forms of heart disease,Ventricular fibrillation and flutter
I489,Other forms of heart disease,"Atrial fibrillation and atrial flutter, unspecified"
I484,Other forms of heart disease,Atypical atrial flutter
I482,Other forms of heart disease,Chronic atrial fibrillation
I481,Other forms of heart disease,Persistent atrial fibrillation
I480,Other forms of heart disease,Paroxysmal atrial fibrillation
I472,Other forms of heart disease,Ventricular tachycardia
I471,Other forms of heart disease,Supraventricular tachycardia
I469,Other forms of heart disease,"Cardiac arrest, unspecified"
I458,Other forms of heart disease,Other specified conduction disorders
I455,Other forms of heart disease,Other specified heart block
I454,Other forms of heart disease,Nonspecific intraventricular block
I451,Other forms of heart disease,Other and unspecified right bundle-branch block
I447,Other forms of heart disease,"Left bundle-branch block, unspecified"
I443,Other forms of heart disease,Other and unspecified atrioventricular block
I442,Other forms of heart disease,"Atrioventricular block, complete"
I429,Other forms of heart disease,"Cardiomyopathy, unspecified"
I428,Other forms of heart disease,Other cardiomyopathies
I422,Other forms of heart disease,Other hypertrophic cardiomyopathy
I421,Other forms of heart disease,Obstructive hypertrophic cardiomyopathy
I420,Other forms of heart disease,Dilated cardiomyopathy
I38,Other forms of heart disease,"Endocarditis, valve unspecified"
I359,Other forms of heart disease,"Aortic valve disorder, unspecified"
I351,Other forms of heart disease,Aortic (valve) insufficiency
I350,Other forms of heart disease,Aortic (valve) stenosis
I341,Other forms of heart disease,Mitral (valve) prolapse
I340,Other forms of heart disease,Mitral (valve) insufficiency
I313,Other forms of heart disease,Pericardial effusion (noninflammatory)
I300,Other forms of heart disease,Acute nonspecific idiopathic pericarditis
I272,Pulmonary heart disease and diseases of pulmonary circulation,Other secondary pulmonary hypertension
I269,Pulmonary heart disease and diseases of pulmonary circulation,Pulmonary embolism without mention of acute cor pulmonale
I260,Pulmonary heart disease and diseases of pulmonary circulation,Pulmonary embolism with mention of acute cor pulmonale
I258,Ischaemic heart diseases,Other forms of chronic ischaemic heart disease
I257,Ischaemic heart diseases,Chronic ischaemic heart disease
I255,Ischaemic heart diseases,Ischaemic cardiomyopathy
I251,Ischaemic heart diseases,Atherosclerotic heart disease
I249,Ischaemic heart diseases,"Acute ischaemic heart disease, unspecified"
I214,Ischaemic heart diseases,Acute subendocardial myocardial infarction
I213,Ischaemic heart diseases,Acute transmural myocardial infarction of unspecified site
I211,Ischaemic heart diseases,Acute transmural myocardial infarction of inferior wall
I209,Ischaemic heart diseases,"Angina pectoris, unspecified"
I208,Ischaemic heart diseases,Other forms of angina pectoris
I200,Ischaemic heart diseases,Unstable angina
I161,Hypertensive diseases,Hypertensive heart and renal disease
I160,Hypertensive diseases,Hypertensive heart and renal disease
I150,Hypertensive diseases,Secondary hypertension
I131,Hypertensive diseases,Hypertensive heart and renal disease
I130,Hypertensive diseases,Hypertensive heart and renal disease
I129,Hypertensive diseases,Hypertensive renal disease
I120,Hypertensive diseases,Hypertensive renal disease
I119,Hypertensive diseases,Hypertensive heart disease
I110,Hypertensive diseases,Hypertensive heart disease
I10,Hypertensive diseases,Essential (primary) hypertension
I059,Chronic rheumatic heart diseases,"Mitral valve disease, unspecified"
I058,Chronic rheumatic heart diseases,Other mitral valve diseases
I050,Chronic rheumatic heart diseases,Mitral stenosis
H93A,Other disorders of ear,"Other disorders of ear, not elsewhere classified"
H931,Other disorders of ear,Tinnitus
H920,Other disorders of ear,Otalgia
H919,Other disorders of ear,"Hearing loss, unspecified"
H90A,Other disorders of ear,Conductive and sensorineural hearing loss
H811,Diseases of inner ear,Benign paroxysmal vertigo
H749,Diseases of middle ear and mastoid,"Disorder of middle ear and mastoid, unspecified"
H709,Diseases of middle ear and mastoid,"Mastoiditis, unspecified"
H669,Diseases of middle ear and mastoid,"Otitis media, unspecified"
H664,Diseases of middle ear and mastoid,"Suppurative otitis media, unspecified"
H660,Diseases of middle ear and mastoid,Acute suppurative otitis media
H659,Diseases of middle ear and mastoid,"Nonsuppurative otitis media, unspecified"
H650,Diseases of middle ear and mastoid,Acute serous otitis media
H612,Diseases of external ear,Impacted cerumen
H605,Diseases of external ear,"Acute otitis externa, noninfective"
H578,Other disorders of eye and adnexa,Other specified disorders of eye and adnexa
H571,Other disorders of eye and adnexa,Ocular pain
H570,Other disorders of eye and adnexa,Anomalies of pupillary function
H547,Visual disturbances and blindness,Unspecified visual loss
H524,"Disorders of ocular muscles, binocular movement, accommodation and refraction",Presbyopia
H522,"Disorders of ocular muscles, binocular movement, accommodation and refraction",Astigmatism
H409,Glaucoma,"Glaucoma, unspecified"
H405,Glaucoma,Glaucoma secondary to other eye disorders
H402,Glaucoma,Primary angle-closure glaucoma
H401,Glaucoma,Primary open-angle glaucoma
H400,Glaucoma,Glaucoma suspect
H350,Disorders of choroid and retina,Background retinopathy and retinal vascular changes
H349,Disorders of choroid and retina,"Retinal vascular occlusion, unspecified"
H342,Disorders of choroid and retina,Other retinal artery occlusions
H270,Disorders of lens,Aphakia
H269,Disorders of lens,"Cataract, unspecified"
H251,Disorders of lens,Senile nuclear cataract
H250,Disorders of lens,Senile incipient cataract
H188,"Disorders of sclera, cornea, iris and ciliary body",Other specified disorders of cornea
H185,"Disorders of sclera, cornea, iris and ciliary body",Hereditary corneal dystrophies
H179,"Disorders of sclera, cornea, iris and ciliary body","Corneal scar and opacity, unspecified"
H169,"Disorders of sclera, cornea, iris and ciliary body","Keratitis, unspecified"
H113,Disorders of conjunctiva,Conjunctival haemorrhage
H103,Disorders of conjunctiva,"Acute conjunctivitis, unspecified"
H101,Disorders of conjunctiva,Acute atopic conjunctivitis
H054,"Disorders of eyelid, lacrimal system and orbit",Enophthalmos
H052,"Disorders of eyelid, lacrimal system and orbit",Exophthalmic conditions
H045,"Disorders of eyelid, lacrimal system and orbit",Stenosis and insufficiency of lacrimal passages
H029,"Disorders of eyelid, lacrimal system and orbit","Disorder of eyelid, unspecified"
H024,"Disorders of eyelid, lacrimal system and orbit",Ptosis of eyelid
H021,"Disorders of eyelid, lacrimal system and orbit",Ectropion of eyelid
H020,"Disorders of eyelid, lacrimal system and orbit",Entropion and trichiasis of eyelid
H010,"Disorders of eyelid, lacrimal system and orbit",Blepharitis
G938,Other disorders of the nervous system,Other specified disorders of brain
G934,Other disorders of the nervous system,"Encephalopathy, unspecified"
G931,Other disorders of the nervous system,"Anoxic brain damage, not elsewhere classified"
G92,Other disorders of the nervous system,Toxic encephalopathy
G919,Other disorders of the nervous system,"Hydrocephalus, unspecified"
G912,Other disorders of the nervous system,Normal-pressure hydrocephalus
G894,Cerebral palsy and other paralytic syndromes,"Tetraplegia, unspecified"
G893,Cerebral palsy and other paralytic syndromes,"Tetraplegia, unspecified"
G891,Cerebral palsy and other paralytic syndromes,"Tetraplegia, unspecified"
G825,Cerebral palsy and other paralytic syndromes,"Tetraplegia, unspecified"
G811,Cerebral palsy and other paralytic syndromes,Spastic hemiplegia
G809,Cerebral palsy and other paralytic syndromes,"Cerebral palsy, unspecified"
G801,Cerebral palsy and other paralytic syndromes,Spastic diplegic cerebral palsy
G800,Cerebral palsy and other paralytic syndromes,Spastic quadriplegic cerebral palsy
G728,Diseases of myoneural junction and muscle,Other specified myopathies
G709,Diseases of myoneural junction and muscle,"Myoneural disorder, unspecified"
G700,Diseases of myoneural junction and muscle,Myasthenia gravis
G618,Polyneuropathies and other disorders of the peripheral nervous system,Other inflammatory polyneuropathies
G609,Polyneuropathies and other disorders of the peripheral nervous system,"Hereditary and idiopathic neuropathy, unspecified"
G579,"Nerve, nerve root and plexus disorders","Mononeuropathy of lower limb, unspecified"
G560,"Nerve, nerve root and plexus disorders",Carpal tunnel syndrome
G540,"Nerve, nerve root and plexus disorders",Brachial plexus disorders
G510,"Nerve, nerve root and plexus disorders",Bell's palsy
G500,"Nerve, nerve root and plexus disorders",Trigeminal neuralgia
G473,Episodic and paroxysmal disorders,Sleep apnoea
G470,Episodic and paroxysmal disorders,Disorders of initiating and maintaining sleep [insomnias]
G459,Episodic and paroxysmal disorders,"Transient cerebral ischaemic attack, unspecified"
G453,Episodic and paroxysmal disorders,Amaurosis fugax
G450,Episodic and paroxysmal disorders,Vertebro-basilar artery syndrome
G445,Episodic and paroxysmal disorders,Other headache syndromes
G442,Episodic and paroxysmal disorders,Tension-type headache
G440,Episodic and paroxysmal disorders,Cluster headache syndrome
G437,Episodic and paroxysmal disorders,Migraine
G431,Episodic and paroxysmal disorders,Migraine with aura [classical migraine]
G430,Episodic and paroxysmal disorders,Migraine without aura [common migraine]
G409,Episodic and paroxysmal disorders,"Epilepsy, unspecified"
G403,Episodic and paroxysmal disorders,Generalized idiopathic epilepsy and epileptic syndromes
G402,Episodic and paroxysmal disorders,Localization-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures
G401,Episodic and paroxysmal disorders,Localization-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures
G35,Demyelinating diseases of the central nervous system,Multiple sclerosis
G318,Other degenerative diseases of the nervous system,Other specified degenerative diseases of nervous system
G301,Other degenerative diseases of the nervous system,Alzheimer's disease with late onset
G258,Extrapyramidal and movement disorders,Other specified extrapyramidal and movement disorders
G252,Extrapyramidal and movement disorders,Other specified forms of tremor
G20,Extrapyramidal and movement disorders,Parkinson's disease
F99,Unspecified mental disorder,"Mental disorder, not otherwise specified"
F988,Behavioural and emotional disorders with onset usually occurring in childhood and adolescence,Other specified behavioural and emotional disorders with onset usually occurring in childhood and adolescence
F984,Behavioural and emotional disorders with onset usually occurring in childhood and adolescence,Stereotyped movement disorders
F909,Behavioural and emotional disorders with onset usually occurring in childhood and adolescence,"Hyperkinetic disorder, unspecified"
F902,Behavioural and emotional disorders with onset usually occurring in childhood and adolescence,Hyperkinetic disorders
F900,Behavioural and emotional disorders with onset usually occurring in childhood and adolescence,Disturbance of activity and attention
F840,Disorders of psychological development,Childhood autism
F810,Disorders of psychological development,Specific reading disorder
F523,Behavioural syndromes associated with physiological disturbances and physical factors,Orgasmic dysfunction
F510,Behavioural syndromes associated with physiological disturbances and physical factors,Nonorganic insomnia
F500,Behavioural syndromes associated with physiological disturbances and physical factors,Anorexia nervosa
F445,"Neurotic, stress-related and somatoform disorders",Dissociative convulsions
F439,"Neurotic, stress-related and somatoform disorders","Reaction to severe stress, unspecified"
F432,"Neurotic, stress-related and somatoform disorders",Adjustment disorders
F419,"Neurotic, stress-related and somatoform disorders","Anxiety disorder, unspecified"
F418,"Neurotic, stress-related and somatoform disorders",Other specified anxiety disorders
F411,"Neurotic, stress-related and somatoform disorders",Generalized anxiety disorder
F410,"Neurotic, stress-related and somatoform disorders",Panic disorder [episodic paroxysmal anxiety]
F39,Mood [affective] disorders,Unspecified mood [affective] disorder
F334,Mood [affective] disorders,"Recurrent depressive disorder, currently in remission"
F331,Mood [affective] disorders,"Recurrent depressive disorder, current episode moderate"
F330,Mood [affective] disorders,"Recurrent depressive disorder, current episode mild"
F329,Mood [affective] disorders,"Depressive episode, unspecified"
F322,Mood [affective] disorders,Severe depressive episode without psychotic symptoms
F321,Mood [affective] disorders,Moderate depressive episode
F319,Mood [affective] disorders,"Bipolar affective disorder, unspecified"
F318,Mood [affective] disorders,Other bipolar affective disorders
F313,Mood [affective] disorders,"Bipolar affective disorder, current episode mild or moderate depression"
F29,"Schizophrenia, schizotypal and delusional disorders",Unspecified nonorganic psychosis
F259,"Schizophrenia, schizotypal and delusional disorders","Schizoaffective disorder, unspecified"
F251,"Schizophrenia, schizotypal and delusional disorders","Schizoaffective disorder, depressive type"
F250,"Schizophrenia, schizotypal and delusional disorders","Schizoaffective disorder, manic type"
F23,"Schizophrenia, schizotypal and delusional disorders",Acute and transient psychotic disorders
F209,"Schizophrenia, schizotypal and delusional disorders","Schizophrenia, unspecified"
F200,"Schizophrenia, schizotypal and delusional disorders",Paranoid schizophrenia
F191,Mental and behavioural disorders due to psychoactive substance use,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use"
F172,Mental and behavioural disorders due to psychoactive substance use,"Mental and behavioural disorders due to use of tobacco, dependence syndrome"
F102,Mental and behavioural disorders due to psychoactive substance use,"Mental and behavioural disorders due to use of alcohol, dependence syndrome"
F101,Mental and behavioural disorders due to psychoactive substance use,"Mental and behavioural disorders due to use of alcohol, harmful use"
F09,"Organic, including symptomatic, mental disorders",Unspecified organic or symptomatic mental disorder
F061,"Organic, including symptomatic, mental disorders",Organic catatonic disorder
F05,"Organic, including symptomatic, mental disorders","Delirium, not induced by alcohol and other psychoactive substances"
F039,"Organic, including symptomatic, mental disorders",Unspecified dementia
F015,"Organic, including symptomatic, mental disorders",Vascular dementia
E890,Metabolic disorders,"Postprocedural endocrine and metabolic disorders, not elsewhere classified"
E888,Metabolic disorders,Other metabolic disorders
E878,Metabolic disorders,"Other disorders of fluid, electrolyte and acid-base balance"
E877,Metabolic disorders,"Other disorders of fluid, electrolyte and acid-base balance"
E876,Metabolic disorders,"Other disorders of fluid, electrolyte and acid-base balance"
E875,Metabolic disorders,"Other disorders of fluid, electrolyte and acid-base balance"
E872,Metabolic disorders,"Other disorders of fluid, electrolyte and acid-base balance"
E871,Metabolic disorders,"Other disorders of fluid, electrolyte and acid-base balance"
E870,Metabolic disorders,"Other disorders of fluid, electrolyte and acid-base balance"
E860,Metabolic disorders,Volume depletion
E835,Metabolic disorders,Disorders of mineral metabolism
E834,Metabolic disorders,Disorders of mineral metabolism
E785,Metabolic disorders,Disorders of lipoprotein metabolism and other lipidaemias
E784,Metabolic disorders,Disorders of lipoprotein metabolism and other lipidaemias
E782,Metabolic disorders,Disorders of lipoprotein metabolism and other lipidaemias
E781,Metabolic disorders,Disorders of lipoprotein metabolism and other lipidaemias
E780,Metabolic disorders,Disorders of lipoprotein metabolism and other lipidaemias
E669,Obesity and other hyperalimentation,"Obesity, unspecified"
E660,Obesity and other hyperalimentation,Obesity due to excess calories
E639,Other nutritional deficiencies,"Nutritional deficiency, unspecified"
E611,Other nutritional deficiencies,Iron deficiency
E559,Other nutritional deficiencies,"Vitamin D deficiency, unspecified"
E538,Other nutritional deficiencies,Deficiency of other specified B group vitamins
E519,Other nutritional deficiencies,"Thiamine deficiency, unspecified"
E46,Malnutrition,Unspecified protein-energy malnutrition
E43,Malnutrition,Unspecified severe protein-energy malnutrition
E291,Disorders of other endocrine glands,Testicular hypofunction
E283,Disorders of other endocrine glands,Primary ovarian failure
E282,Disorders of other endocrine glands,Polycystic ovarian syndrome
E274,Disorders of other endocrine glands,Other and unspecified adrenocortical insufficiency
E230,Disorders of other endocrine glands,Hypopituitarism
E213,Disorders of other endocrine glands,"Hyperparathyroidism, unspecified"
E139,Diabetes mellitus,Other specified diabetes mellitus
E136,Diabetes mellitus,Other specified diabetes mellitus
E132,Diabetes mellitus,Other specified diabetes mellitus
E119,Diabetes mellitus,Type 2 diabetes mellitus
E118,Diabetes mellitus,Type 2 diabetes mellitus
E116,Diabetes mellitus,Type 2 diabetes mellitus
E115,Diabetes mellitus,Type 2 diabetes mellitus
E114,Diabetes mellitus,Type 2 diabetes mellitus
E113,Diabetes mellitus,Type 2 diabetes mellitus
E112,Diabetes mellitus,Type 2 diabetes mellitus
E111,Diabetes mellitus,Type 2 diabetes mellitus
E110,Diabetes mellitus,Type 2 diabetes mellitus
E109,Diabetes mellitus,Type 1 diabetes mellitus
E106,Diabetes mellitus,Type 1 diabetes mellitus
E101,Diabetes mellitus,Type 1 diabetes mellitus
E086,Diabetes mellitus,Type 1 diabetes mellitus
E085,Diabetes mellitus,Type 1 diabetes mellitus
E081,Diabetes mellitus,Type 1 diabetes mellitus
E064,Disorders of thyroid gland,Drug-induced thyroiditis
E063,Disorders of thyroid gland,Autoimmune thyroiditis
E059,Disorders of thyroid gland,"Thyrotoxicosis, unspecified"
E050,Disorders of thyroid gland,Thyrotoxicosis with diffuse goitre
E049,Disorders of thyroid gland,"Nontoxic goitre, unspecified"
E042,Disorders of thyroid gland,Nontoxic multinodular goitre
E041,Disorders of thyroid gland,Nontoxic single thyroid nodule
E039,Disorders of thyroid gland,"Hypothyroidism, unspecified"
E038,Disorders of thyroid gland,Other specified hypothyroidism
E034,Disorders of thyroid gland,Atrophy of thyroid (acquired)
E031,Disorders of thyroid gland,Congenital hypothyroidism without goitre
E010,Disorders of thyroid gland,Iodine-deficiency-related diffuse (endemic) goitre
D869,Certain disorders involving the immune mechanism,"Sarcoidosis, unspecified"
D868,Certain disorders involving the immune mechanism,Sarcoidosis of other and combined sites
D758,Other diseases of blood and blood-forming organs,Other specified diseases of blood and blood-forming organs
D728,Other diseases of blood and blood-forming organs,Other specified disorders of white blood cells
D709,Other diseases of blood and blood-forming organs,Agranulocytosis
D701,Other diseases of blood and blood-forming organs,Agranulocytosis
D696,"Coagulation defects, purpura and other haemorrhagic conditions","Thrombocytopenia, unspecified"
D693,"Coagulation defects, purpura and other haemorrhagic conditions",Idiopathic thrombocytopenic purpura
D686,"Coagulation defects, purpura and other haemorrhagic conditions",Other Thrombophilia
D683,"Coagulation defects, purpura and other haemorrhagic conditions",Haemorrhagic disorder due to circulating anticoagulants
D649,Aplastic and other anaemias,"Anaemia, unspecified"
D638,Aplastic and other anaemias,Anaemia in other chronic diseases classified elsewhere
D62,Aplastic and other anaemias,Acute posthaemorrhagic anaemia
D618,Aplastic and other anaemias,Other specified aplastic anaemias
D570,Haemolytic anaemias,Sickle-cell disorders
D539,Nutritional anaemias,Other nutritional anaemias
D510,Nutritional anaemias,Vitamin B12 deficiency anaemia
D509,Nutritional anaemias,Iron deficiency anaemia
D508,Nutritional anaemias,Iron deficiency anaemia
D500,Nutritional anaemias,Iron deficiency anaemia
D498,Nutritional anaemias,Iron deficiency anaemia
D496,Nutritional anaemias,Iron deficiency anaemia
D491,Nutritional anaemias,Iron deficiency anaemia
D490,Nutritional anaemias,Iron deficiency anaemia
D485,Neoplasms of uncertain or unknown behaviour,"Neoplasm of uncertain or unknown behaviour, skin"
D473,Neoplasms of uncertain or unknown behaviour,Essential (haemorrhagic) thrombocythaemia
D472,Neoplasms of uncertain or unknown behaviour,Monoclonal gammopathy of undetermined significance (MGUS)
D440,Neoplasms of uncertain or unknown behaviour,"Neoplasm of uncertain or unknown behaviour, thyroid gland"
D420,Neoplasms of uncertain or unknown behaviour,"Neoplasm of uncertain or unknown behaviour, cerebral meninges"
D3A0,Neoplasms of uncertain or unknown behaviour,"Neoplasm of uncertain or unknown behaviour, cerebral meninges"
D391,Neoplasms of uncertain or unknown behaviour,"Neoplasm of uncertain or unknown behaviour, ovary"
D376,Neoplasms of uncertain or unknown behaviour,"Neoplasm of uncertain or unknown behaviour, liver, gallbladder and bile ducts"
D352,Benign neoplasms,Benign neoplasm of other and unspecified endocrine glands
D333,Benign neoplasms,Benign neoplasm of brain and other parts of central nervous system
D329,Benign neoplasms,Benign neoplasm of meninges
D321,Benign neoplasms,Benign neoplasm of meninges
D320,Benign neoplasms,Benign neoplasm of meninges
D271,Benign neoplasms,Benign neoplasm of ovary
D259,Benign neoplasms,Leiomyoma of uterus
D251,Benign neoplasms,Leiomyoma of uterus
D242,Benign neoplasms,Benign neoplasm of breast
D241,Benign neoplasms,Benign neoplasm of breast
D239,Benign neoplasms,Other benign neoplasms of skin
D229,Benign neoplasms,Melanocytic naevi
D219,Benign neoplasms,Other benign neoplasms of connective and other soft tissue
D212,Benign neoplasms,Other benign neoplasms of connective and other soft tissue
D180,Benign neoplasms,"Haemangioma and lymphangioma, any site"
D172,Benign neoplasms,Benign lipomatous neoplasm
D171,Benign neoplasms,Benign lipomatous neoplasm
D162,Benign neoplasms,Benign neoplasm of bone and articular cartilage
D126,Benign neoplasms,"Benign neoplasm of colon, rectum, anus and anal canal"
D124,Benign neoplasms,"Benign neoplasm of colon, rectum, anus and anal canal"
D123,Benign neoplasms,"Benign neoplasm of colon, rectum, anus and anal canal"
D122,Benign neoplasms,"Benign neoplasm of colon, rectum, anus and anal canal"
D120,Benign neoplasms,"Benign neoplasm of colon, rectum, anus and anal canal"
D071,In situ neoplasms,"Carcinoma in situ, vulva"
D051,In situ neoplasms,Intraductal carcinoma in situ of breast
C959,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue","Leukaemia, unspecified"
C950,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",Acute leukaemia of unspecified cell type
C931,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",Chronic myelomonocytic leukaemia
C921,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue","Chronic myeloid leukaemia [CML], BCR/ABL-positive"
C919,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue","Lymphoid leukaemia, unspecified"
C911,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",Chronic lymphocytic leukaemia of B-cell type
C910,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",Acute lymphoblastic leukaemia [ALL]
C900,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",Multiple myeloma
C851,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue","B-cell lymphoma, unspecified"
C837,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",Burkitt lymphoma
C831,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",Mantle cell lymphoma
C830,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",Small cell B-cell lymphoma
C821,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",Follicular lymphoma grade II
C819,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue","Hodgkin lymphoma, unspecified"
C812,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",Mixed cellularity (classical) Hodgkin lymphoma
C811,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",Nodular sclerosis (classical) Hodgkin lymphoma
C810,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",Nodular lymphocyte predominant Hodgkin lymphoma
C801,"Malignant neoplasms of ill-defined, secondary and unspecified sites",Malignant neoplasm without specification of site
